Date/Time,Location,Sunlight,Magnetic field strength,Temperature,Humidity
2022-04-16 03:04:29.387837,IERS2010 latitude -28.0754 N longitude -121.5988 E elevation 427711.2 m,In sunlight,"x: 7.911729335784912, y: 0.39052048325538635, z: -2.652628183364868",34.8491°C,28.6826%
2022-04-16 03:04:44.582859,IERS2010 latitude -28.7731 N longitude -120.8786 E elevation 427967.4 m,In sunlight,"x: 14.418313980102539, y: 0.6632067561149597, z: -4.60538911819458",34.938°C,29.524%
2022-04-16 03:04:59.675583,IERS2010 latitude -29.4613 N longitude -120.1529 E elevation 428221.6 m,In sunlight,"x: 19.50273323059082, y: 0.8194766044616699, z: -6.39598274230957",34.8314°C,29.9768%
2022-04-16 03:05:14.768119,IERS2010 latitude -30.1448 N longitude -119.4166 E elevation 428475.3 m,In sunlight,"x: 23.542390823364258, y: 0.7978467345237732, z: -7.809978485107422",34.8136°C,30.1787%
2022-04-16 03:05:29.872699,IERS2010 latitude -30.8237 N longitude -118.6687 E elevation 428728.4 m,In sunlight,"x: 26.74178123474121, y: 0.7950438857078552, z: -9.0679292678833",34.7958°C,29.0222%
2022-04-16 03:05:44.995830,IERS2010 latitude -31.4983 N longitude -117.9085 E elevation 428980.8 m,In darkness,"x: 29.188247680664062, y: 0.82066410779953, z: -9.960004806518555",34.8669°C,29.4322%
2022-04-16 03:06:00.094675,IERS2010 latitude -32.1663 N longitude -117.1377 E elevation 429231.7 m,In darkness,"x: 31.065889358520508, y: 0.631516695022583, z: -10.602418899536133",34.9914°C,29.4628%
2022-04-16 03:06:15.198577,IERS2010 latitude -32.8289 N longitude -116.3545 E elevation 429481.1 m,In darkness,"x: 32.57760238647461, y: 0.52141273021698, z: -11.218225479125977",34.9203°C,29.6188%
2022-04-16 03:06:30.290619,IERS2010 latitude -33.4850 N longitude -115.5594 E elevation 429728.6 m,In darkness,"x: 33.871795654296875, y: 0.2702239155769348, z: -11.78749942779541",34.8847°C,29.1354%
2022-04-16 03:06:45.381546,IERS2010 latitude -34.1350 N longitude -114.7514 E elevation 429974.2 m,In darkness,"x: 34.70671844482422, y: 0.16868701577186584, z: -12.227058410644531",34.8847°C,29.2303%
2022-04-16 03:07:00.514464,IERS2010 latitude -34.7805 N longitude -113.9278 E elevation 430218.3 m,In darkness,"x: 35.213871002197266, y: -0.08486083149909973, z: -12.417336463928223",34.8314°C,29.9768%
2022-04-16 03:07:15.608705,IERS2010 latitude -35.4176 N longitude -113.0926 E elevation 430459.3 m,In darkness,"x: 35.55332565307617, y: -0.2034159004688263, z: -12.802937507629395",34.938°C,29.2364%
2022-04-16 03:07:30.704632,IERS2010 latitude -36.0480 N longitude -112.2431 E elevation 430697.8 m,In darkness,"x: 35.815155029296875, y: -0.5274537801742554, z: -12.845956802368164",34.9203°C,29.1477%
2022-04-16 03:07:45.802101,IERS2010 latitude -36.6713 N longitude -111.3791 E elevation 430933.3 m,In darkness,"x: 36.014915466308594, y: -0.8102982640266418, z: -13.208086013793945",34.8669°C,29.1813%
2022-04-16 03:08:00.906606,IERS2010 latitude -37.2875 N longitude -110.4997 E elevation 431165.9 m,In darkness,"x: 36.177921295166016, y: -0.9702203273773193, z: -13.225931167602539",34.8314°C,29.2425%
2022-04-16 03:08:16.048975,IERS2010 latitude -37.8975 N longitude -109.6027 E elevation 431395.8 m,In darkness,"x: 36.16151428222656, y: -1.1863600015640259, z: -13.455618858337402",34.9558°C,29.3588%
2022-04-16 03:08:31.130253,IERS2010 latitude -38.4970 N longitude -108.6936 E elevation 431621.1 m,In darkness,"x: 36.21742630004883, y: -1.351706624031067, z: -13.458085060119629",34.8491°C,28.8386%
2022-04-16 03:08:46.226361,IERS2010 latitude -39.0889 N longitude -107.7675 E elevation 431842.9 m,In darkness,"x: 36.16790771484375, y: -1.5448634624481201, z: -13.610024452209473",34.9558°C,29.3037%
